TIPO,RESPOSTA,PARAGRAFO
INTRO1,FIXO,"O resultado do teste que você respondeu é um indicador do seu nível de trauma e dos impactos que ele pode ter na sua vida. Analisamos suas respostas em todas as áreas afetadas por traumas psicológicos: <b>Cognição, Saúde, Padrões de Comportamento e Estresse Emocional</b>, com explicações e comentários sobre cada uma delas."
INTRO2,FIXO,"Ao final de cada tópico, oferecemos breves recomendações de práticas variadas, todas criteriosamente estudadas por especialistas da área e comprovadamente eficazes no tratamento de trauma. No entanto, não existe uma “fórmula mágica” que sirva a todas as pessoas e a todos os tipos de trauma; é preciso buscar, dentro das opções oferecidas, aquela (ou aquelas) que melhor atenda às suas necessidades, que respeite suas preferências e te deixe confortável. Além disso, é preciso muita paciência, pois sabemos que recuperar tudo aquilo que o trauma prejudicou pode levar tempo – e pode ser ainda mais difícil nos casos de traumas severos. Mas sempre vale a pena! Recuperar-se de um trauma significa transformar sintomas em autoconsciência, auto-aceitação e fortalecimento (ou construção) da resiliência. Recuperar-se de um trauma não significa esquecer o que aconteceu, mas sim integrar a experiência traumática sem que ela continue governando suas emoções, pensamentos e comportamentos no presente. É um processo gradual que envolve restaurar o senso de segurança, resgatar a autonomia emocional e reconfigurar os padrões de pensamento e comportamento criados pelo trauma."
INTRO3,FIXO,"Antes de apresentar seus resultados, uma observação: tenha em mente que esta avaliação personalizada é uma <b>ferramenta de rastreio</b> de sintomas de trauma, que pode ajudar tanto no aprofundamento do autoconhecimento como em processos terapêuticos (já em curso ou que você pretende iniciar). Este relatório <b>não é um diagnóstico</b> e não substitui a avaliação clínica; ele apenas aponta as <b>áreas que precisam de cuidado</b> para que você possa viver com mais tranquilidade e de forma plena. <br/><br/>
"
INTRO4,FIXO,"Desejamos que este relatório represente apenas o começo de uma jornada de auto-descoberta e libertação.<br/><br/> Forte abraço, <br/><br/> <i>Equipe Figueira</i>"
S1,COGNIÇÃO,"<b>Cognição</b> são os processos mentais envolvidos na aquisição de conhecimento por meio de funções como atenção, percepção, pensamento, raciocínio, linguagem, associação, memória, imaginação e julgamento, reguladas principalmente pelo córtex pré-frontal, hipocampo e outras regiões associadas. A forma como processamos informações, aprendemos, tomamos decisões, mantemos a atenção, regulamos nossas emoções e enxergamos o mundo, portanto, está diretamente ligada ao funcionamento do nosso sistema nervoso. Os traumas psicológicos podem afetar essas funções de diversas maneiras: tornando-as distorcidas, hiper ou hipoativas, devido às alterações na conectividade neural e na ativação crônica do sistema de alarme do cérebro causados pelo trauma."
P1,1 MEMÓRIA AUTOBIOGRÁFICA,"A <b>memória autobiográfica</b> é a capacidade de registrar e resgatar eventos de nossa própria história de vida. Traumas psicológicos podem causar grandes prejuízos a esta função cognitiva, com dificuldades que vão desde pequenos lapsos de memória ocasionais até <i>amnésia dissociativa</i> grave, em que períodos inteiros de vida parecem em branco."
R1,DISCORDO TOTALMENTE,Mas este não parece ser o seu caso. Os resultados do seu teste sugerem que sua memória está bem preservada e que você consegue resgatar facilmente as lembranças do passado.
R1,DISCORDO DE QUASE TUDO,"Mas este não parece ser o seu caso. Os resultados do teste sugerem que, apesar de pequenos lapsos ocasionais, sua memória não sofreu um impacto significativo. "
R1,CONCORDO EM PARTE ,"Os resultados do seu teste sugerem que você pode ter dificuldades recorrentes para recordar eventos importantes, o que sinaliza um possível trauma não-resolvido. Mas é importante lembrar que nem sempre os lapsos de memória estão ligados a trauma: altos níveis de estresse, privação de sono, deficiência de nutrientes e doenças do sistema nervoso são igualmente nocivos à memória. Diante de uma dificuldade cognitiva, é recomendável investigar possíveis causas orgânicas e ambientais antes de assumir que são decorrentes de danos emocionais."
R1,CONCORDO TOTALMENTE,"Os resultados do seu teste sugerem uma possível <i>amnésia dissociativa</i>, um mecanismo de defesa psicológico em que o cérebro bloqueia memórias dolorosas para autoproteção, impedindo que você reviva emoções intensas e difíceis associadas a eventos traumáticos. Esse processo ocorre de forma inconsciente e involuntária, e está relacionado a alterações no funcionamento do hipocampo e da amígdala, áreas do cérebro responsáveis pela memória e pela resposta ao estresse. O grande problema deste mecanismo é que ele pode “apagar” tudo o que tenha ligação com o trauma (pessoas, lugares e situações), deixando importantes períodos da sua vida praticamente em branco – o que pode ser tão angustiante quanto as memórias traumáticas."
P2,2 ATENÇÃO,"A capacidade de <b>manter o foco</b> e de ignorar ou filtrar estímulos que não são relevantes também pode ser impactada pelo trauma. Com a atenção comprometida, torna-se muito difícil seguir instruções e reter informações, o que prejudica o aprendizado e a execução de tarefas cotidianas. Além disso, o foco reduzido também pode gerar uma sensação persistente de sobrecarga mental."
R2,DISCORDO TOTALMENTE,Mas não é isso que o seu teste mostra – sua resposta aponta para um processo cognitivo bastante eficiente no que diz respeito à retenção de informações. 
R2,DISCORDO DE QUASE TUDO,"Mas não é isso que o seu teste mostra. Você pode apresentar uma leve dificuldade em reter informações, sobretudo quando está sob estresse, mas esta função cognitiva parece preservada no seu caso."
R2,CONCORDO EM PARTE,"Seu teste indica que você enfrenta algumas dificuldades nesse campo, com esquecimentos frequentes enquanto realiza o passo-a-passo de tarefas, e uma possível sensação de sobrecarga mental. Se essas dificuldades ocorrem regularmente, podem ser a consequência de traumas, sobretudo de traumas <i>crônicos</i>, que acontecem de forma repetida ou prolongada ao longo da infância; mas se são ocasionais, podem ser apenas o reflexo de uma fase estressante, do seu estilo de vida (privação de sono, consumo de álcool e substâncias, falta de atividade física, rotina estressante), ou ainda de uma disfunção de origem orgânica (como anemia severa e outras deficiências nutricionais). Questões neurológicas (como TDAH, transtornos do espectro autista e algumas doenças neurodegenerativas) também interferem na capacidade de retenção de informações. Ou seja: nem tudo está necessariamente ligado a trauma, daí a necessidade de investigar a fundo todas as possibilidades."
R2,CONCORDO TOTALMENTE,"Sua grande dificuldade para seguir instruções e executar tarefas complexas pode apontar para um trauma crônico não-resolvido, em que muitas funções executivas são prejudicadas. Sabemos que traumas de infância – e principalmente traumas que acontecem de forma repetida ou prolongada, como nos casos de abuso (físico, emocional ou sexual) e negligência – comprometem o desenvolvimento do cérebro. Esse comprometimento é o resultado da ação do estresse tóxico nas células nervosas e na formação da conectividade cerebral. Nesse caso, é preciso um longo e cuidadoso processo terapêutico que trate não apenas das questões emocionais e cognitivas, mas também dos imprints físicos do trauma (tensão muscular, dores crônicas, bruxismo, problemas digestivos etc.), já que estas três dimensões – cognitiva, emocional e física – se influenciam mutuamente no processo de melhora dos sintomas. Mas lembre-se que a retenção de informações também pode ser impactada por questões orgânicas (deficiências nutricionais), estilo de vida (privação de sono, consumo de álcool e substâncias, falta de atividade física, estresse elevado), ou, ainda, por questões neurológicas (TDAH, transtornos do espectro autista e algumas doenças neurodegenerativas). Nem tudo está necessariamente ligado a trauma, daí a necessidade de investigar a fundo todas as possibilidades. "
P3,3 FUNÇÕES EXECUTIVAS,"Nossas <b>funções executivas</b> incluem controle inibitório, planejamento e resolução de problemas, além de aspectos como memória de trabalho, organização, automonitoramento e persistência. Todas essas habilidades trabalham juntas para permitir um comportamento adaptativo e eficiente no dia a dia. É comum pessoas com traumas se queixarem de esquecimento constante de nomes ou palavras, de se perderem facilmente, não conseguirem fazer uma boa gestão do tempo ou se sentirem sobrecarregadas, o que aponta para um comprometimento dessas funções. Isso acontece porque o estresse traumático prejudica a conectividade entre o córtex pré-frontal e o hipocampo, afetando a estruturação do pensamento e a capacidade de planejar. O trauma também causa uma hiperatividade da amígdala, estrutura do sistema límbico essencial no processamento emocional, na resposta ao medo e na memória associativa. Esta hiperatividade fragmenta os processos mentais e dificulta a retenção de informações, o que causa uma sensação de sobrecarga e confusão mental, e torna as tarefas cotidianas exaustivas."
R3,DISCORDO TOTALMENTE,"Mas este não parece ser o seu caso. As respostas do seu teste apontam para uma boa capacidade de organização, planejamento, gestão do tempo e orientação espacial.  "
